run_id,probe_mode,seed,mask,toolmeta,extra_tools,InstAcc,ToolAcc,ArgAcc,SummAcc,AnsAcc,AnsAcc_w_imggen,P_F1,O_F1,L_F1,C_F1,tool_call,tool_call_error,proxy_calls,mean_tool_calls_per_task,mean_pred_chars,approx_mean_tokens
baseline,,,,,,51.99,33.39,8.98,66.14,14.35,12.66,29.91,27.96,36.28,35.56,131,74,293,,1105.0,276.2
causal_B_toolfree,,,,,,,,,,10.85,8.15,28.93,29.79,18.08,42.55,91,91,39,,1034.0,258.5
causal_C_corrupt,,,,,,,,,,10.79,8.77,29.02,34.0,31.22,35.56,119,65,67,,1052.4,263.1
loo_AddText_pass_s0,passthrough,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_AddText/toolmeta.json,,,,,,12.59,11.72,22.08,31.91,33.65,50.98,105,58,57,,1042.6,260.7
loo_AddText_tf_s0,tool_free,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_AddText/toolmeta.json,,,,,,12.56,9.43,24.68,16.28,21.05,34.78,76,76,29,,956.9,239.2
loo_Calculator_pass_s0,passthrough,0,"OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_Calculator/toolmeta.json,,,,,,11.7,10.0,22.88,46.0,19.05,42.31,92,76,30,,1060.0,265.0
loo_Calculator_tf_s0,tool_free,0,"OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_Calculator/toolmeta.json,,,,,,11.1,8.33,22.08,31.91,18.08,45.83,94,94,31,,1071.7,267.9
loo_CountGivenObject_pass_s0,passthrough,0,"Calculator,OCR,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_CountGivenObject/toolmeta.json,,,,,,13.45,13.3,27.33,28.26,25.25,47.06,112,54,69,,1101.8,275.5
loo_CountGivenObject_tf_s0,tool_free,0,"Calculator,OCR,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,DrawBox,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_CountGivenObject/toolmeta.json,,,,,,9.17,6.89,25.16,25.53,13.04,35.56,102,102,35,,1032.9,258.2
loo_DrawBox_pass_s0,passthrough,0,"Calculator,OCR,CountGivenObject,ImageDescription,GoogleSearch,RegionAttributeDescription,TextToBbox,Plot,MathOCR,Solver,AddText,TextToImage,ImageStylization",/project/6101776/xzhan576/gta2-envlab/envgen/variants/masks/loo_DrawBox/toolmeta.json,,,,,,18.32,14.7,26.58,26.09,28.71,38.3,108,64,53,,1122.6,280.6
